Wavelength;Reflectance;Sigma
760.00000;0.106395;0.02
761.00000;0.0848083;0.02
762.00000;0.235142;0.02
763.00000;0.180379;0.02
764.00000;0.204573;0.02
765.00000;0.274128;0.02
766.00000;0.369854;0.02
767.00000;0.4092;0.02
768.00000;0.447355;0.02
769.00000;0.478917;0.02
770.00000;0.492784;0.02
771.00000;0.498363;0.02
772.00000;0.503084;0.02
773.00000;0.507791;0.02
774.00000;0.506364;0.02
775.00000;0.50662;0.02
776.00000;0.505269;0.02
777.00000;0.504068;0.02
778.00000;0.507557;0.02
779.00000;0.506225;0.02
780.00000;0.506604;0.02
781.00000;0.507686;0.02
782.00000;0.50535;0.02
783.00000;0.505207;0.02
784.00000;0.498498;0.02
785.00000;0.50276;0.02
786.00000;0.496235;0.02
787.00000;0.499186;0.02
788.00000;0.491863;0.02
789.00000;0.479569;0.02
790.00000;0.488896;0.02
791.00000;0.486407;0.02
792.00000;0.487774;0.02
793.00000;0.493436;0.02
794.00000;0.492737;0.02
795.00000;0.490216;0.02
796.00000;0.486182;0.02
797.00000;0.478945;0.02
798.00000;0.48849;0.02
799.00000;0.489652;0.02
800.00000;0.48445;0.02
801.00000;0.487199;0.02
802.00000;0.480483;0.02
803.00000;0.484953;0.02
804.00000;0.482355;0.02
805.00000;0.489413;0.02
806.00000;0.488078;0.02
807.00000;0.490084;0.02
808.00000;0.489512;0.02
809.00000;0.484336;0.02
810.00000;0.488107;0.02
811.00000;0.481292;0.02
812.00000;0.477666;0.02
813.00000;0.469162;0.02
814.00000;0.462953;0.02
815.00000;0.450131;0.02
816.00000;0.442705;0.02
817.00000;0.434859;0.02
818.00000;0.443093;0.02
819.00000;0.439634;0.02
820.00000;0.458923;0.02
821.00000;0.471654;0.02
822.00000;0.459406;0.02
823.00000;0.425002;0.02
824.00000;0.451216;0.02
825.00000;0.473746;0.02
826.00000;0.467662;0.02
827.00000;0.465087;0.02
828.00000;0.454883;0.02
829.00000;0.459287;0.02
830.00000;0.459268;0.02
831.00000;0.467191;0.02
832.00000;0.464354;0.02
833.00000;0.469876;0.02
834.00000;0.467611;0.02
835.00000;0.477182;0.02
836.00000;0.475387;0.02
837.00000;0.471562;0.02
838.00000;0.47619;0.02
839.00000;0.475945;0.02
840.00000;0.48152;0.02
841.00000;0.476835;0.02
842.00000;0.478702;0.02
843.00000;0.48715;0.02
844.00000;0.487183;0.02
845.00000;0.485884;0.02
846.00000;0.487009;0.02
847.00000;0.485228;0.02
848.00000;0.486382;0.02
849.00000;0.486864;0.02
850.00000;0.483978;0.02
851.00000;0.480744;0.02
852.00000;0.483731;0.02
853.00000;0.482024;0.02
854.00000;0.485077;0.02
855.00000;0.48667;0.02
856.00000;0.491767;0.02
857.00000;0.482679;0.02
858.00000;0.486605;0.02
859.00000;0.486158;0.02
860.00000;0.492752;0.02
861.00000;0.490563;0.02
862.00000;0.496766;0.02
863.00000;0.489869;0.02
864.00000;0.494777;0.02
865.00000;0.487689;0.02
866.00000;0.492861;0.02
867.00000;0.492263;0.02
868.00000;0.493331;0.02
869.00000;0.492697;0.02
870.00000;0.491224;0.02
871.00000;0.492013;0.02
872.00000;0.495965;0.02
873.00000;0.492816;0.02
874.00000;0.491302;0.02
875.00000;0.487207;0.02
876.00000;0.488301;0.02
877.00000;0.492259;0.02
878.00000;0.489745;0.02
879.00000;0.4853;0.02
880.00000;0.488356;0.02
881.00000;0.486461;0.02
882.00000;0.492269;0.02
883.00000;0.489503;0.02
884.00000;0.487922;0.02
885.00000;0.485902;0.02
886.00000;0.497052;0.02
887.00000;0.485368;0.02
888.00000;0.48746;0.02
889.00000;0.488111;0.02
890.00000;0.493165;0.02
891.00000;0.487209;0.02
892.00000;0.486608;0.02
893.00000;0.472866;0.02
894.00000;0.466459;0.02
895.00000;0.455131;0.02
896.00000;0.439234;0.02
897.00000;0.425843;0.02
898.00000;0.413838;0.02
899.00000;0.397686;0.02
900.00000;0.403968;0.02
901.00000;0.400375;0.02
902.00000;0.407821;0.02
903.00000;0.425293;0.02
904.00000;0.454292;0.02
905.00000;0.442709;0.02
906.00000;0.435424;0.02
907.00000;0.41416;0.02
908.00000;0.403506;0.02
909.00000;0.405122;0.02
910.00000;0.411693;0.02
911.00000;0.410581;0.02
912.00000;0.410184;0.02
913.00000;0.392445;0.02
914.00000;0.402518;0.02
915.00000;0.4144;0.02
916.00000;0.41309;0.02
917.00000;0.418643;0.02
918.00000;0.421061;0.02
919.00000;0.435427;0.02
920.00000;0.454897;0.02
921.00000;0.446198;0.02
922.00000;0.452377;0.02
923.00000;0.451092;0.02
924.00000;0.444561;0.02
925.00000;0.436797;0.02
926.00000;0.437751;0.02
927.00000;0.424548;0.02
928.00000;0.413489;0.02
929.00000;0.392848;0.02
930.00000;0.361266;0.02
931.00000;0.339422;0.02
932.00000;0.295685;0.02
933.00000;0.263137;0.02
934.00000;0.223398;0.02
935.00000;0.223431;0.02
936.00000;0.235868;0.02
937.00000;0.231499;0.02
938.00000;0.269458;0.02
939.00000;0.36247;0.02
940.00000;0.374663;0.02
941.00000;0.365536;0.02
942.00000;0.341779;0.02
943.00000;0.292702;0.02
944.00000;0.287921;0.02
945.00000;0.30801;0.02
946.00000;0.309119;0.02
947.00000;0.324005;0.02
948.00000;0.332284;0.02
949.00000;0.329502;0.02
950.00000;0.336159;0.02
951.00000;0.351279;0.02
952.00000;0.336159;0.02
953.00000;0.349562;0.02
954.00000;0.363509;0.02
955.00000;0.346585;0.02
956.00000;0.350389;0.02
957.00000;0.387034;0.02
958.00000;0.395813;0.02
959.00000;0.385409;0.02
960.00000;0.3905;0.02
961.00000;0.38134;0.02
962.00000;0.38622;0.02
963.00000;0.409853;0.02
964.00000;0.406803;0.02
965.00000;0.411091;0.02
966.00000;0.417984;0.02
967.00000;0.421489;0.02
968.00000;0.449898;0.02
969.00000;0.465752;0.02
970.00000;0.466307;0.02
971.00000;0.467952;0.02
