WAVELENGTH;SOLAR_IRRADIANCE
1.260000;434.210000
1.262500;430.940000
1.265000;427.670000
1.267500;424.400000
1.270000;421.130000
1.272500;417.860000
1.275000;414.590000
1.277500;411.320000
1.280000;408.050000
1.282500;404.780000
1.285000;401.510000
1.287500;398.240000
1.290000;394.970000
1.292500;391.700000
1.295000;388.430000
1.297500;392.570000
1.300000;396.710000
1.302500;401.920000
1.305000;407.140000
1.307500;405.320000
1.310000;403.500000
1.312500;401.670000
1.315000;399.840000
1.317500;398.020000
1.320000;396.210000
1.322500;394.370000
1.325000;392.540000
1.327500;390.720000
1.330000;388.900000
1.332500;387.060000
1.335000;385.230000
1.337500;383.420000
1.340000;381.600000
1.342500;379.770000
1.345000;377.950000
1.347500;376.120000
1.350000;374.300000
1.352500;372.480000
1.355000;370.660000
1.357500;368.820000
1.360000;366.990000
1.362500;365.170000
1.365000;363.350000
1.367500;361.520000
1.370000;359.690000
1.372500;357.870000
1.375000;356.050000
1.377500;354.220000
1.380000;352.390000
1.382500;350.570000
1.385000;348.750000
1.387500;346.920000
1.390000;345.100000
1.392500;343.270000
1.395000;341.450000
1.397500;341.840000
1.400000;342.240000
1.402500;342.950000
1.405000;343.660000
1.407500;342.270000
1.410000;340.890000
1.412500;339.490000
1.415000;338.090000
1.417500;336.690000
1.420000;335.300000
1.422500;333.910000
1.425000;332.530000
1.427500;331.130000
1.430000;329.730000
1.432500;328.340000
1.435000;326.960000
1.437500;325.560000
1.440000;324.160000
1.442500;322.770000
1.445000;321.390000
1.447500;319.990000
1.450000;318.590000
1.452500;317.200000
1.455000;315.820000
1.457500;314.420000
1.460000;313.030000
1.462500;311.630000
1.465000;310.240000
1.467500;308.850000
1.470000;307.460000
1.472500;306.060000
1.475000;304.660000
1.477500;303.280000
1.480000;301.900000
1.482500;300.500000
1.485000;299.100000
1.487500;297.710000
1.490000;296.320000
1.492500;294.930000
1.495000;293.540000
1.497500;293.410000
1.500000;293.280000
1.502500;293.350000
1.505000;293.420000
1.507500;292.260000
1.510000;291.100000
1.512500;289.970000
1.515000;288.840000
1.517500;287.690000
1.520000;286.540000
1.522500;285.390000
1.525000;284.250000
1.527500;283.100000
1.530000;281.960000
1.532500;280.810000
1.535000;279.670000
1.537500;278.520000
1.540000;277.380000
1.542500;276.230000
1.545000;275.080000
1.547500;273.940000
1.550000;272.800000
1.552500;271.650000
1.555000;270.510000
1.557500;269.360000
1.560000;268.220000
1.562500;267.070000
1.565000;265.930000
1.567500;264.780000
1.570000;263.640000
1.572500;262.490000
1.575000;261.340000
1.577500;260.200000
1.580000;259.060000
1.582500;257.910000
1.585000;256.770000
1.587500;255.620000
1.590000;254.470000
1.592500;253.330000
1.595000;252.200000
1.597500;251.160000
1.600000;250.130000
1.602500;249.110000
1.605000;248.090000
1.607500;246.970000
1.610000;245.860000
1.612500;244.740000
1.615000;243.610000
1.617500;242.490000
1.620000;241.370000
1.622500;240.240000
1.625000;239.120000
1.627500;238.000000
1.630000;236.890000
1.632500;235.760000
1.635000;234.640000
1.637500;233.510000
1.640000;232.380000
1.642500;231.260000
1.645000;230.130000
1.647500;229.010000
1.650000;227.900000
1.652500;226.770000
1.655000;225.650000
1.657500;224.530000
1.660000;223.420000
1.662500;222.290000
1.665000;221.160000
1.667500;220.040000
1.670000;218.920000
1.672500;217.800000
1.675000;216.680000
1.677500;215.550000
1.680000;214.430000
1.682500;213.300000
1.685000;212.180000
1.687500;211.060000
1.690000;209.940000
1.692500;208.820000
1.695000;207.690000
1.697500;206.990000
1.700000;206.290000
1.702500;205.650000
1.705000;205.020000
1.707500;203.980000
1.710000;202.950000
1.712500;201.900000
1.715000;200.850000
1.717500;199.810000
1.720000;198.780000
1.722500;197.740000
1.725000;196.700000
1.727500;195.650000
1.730000;194.610000
1.732500;193.570000
1.735000;192.540000
1.737500;191.500000
1.740000;190.470000
1.742500;189.420000
1.745000;188.370000
1.747500;187.330000
1.750000;186.300000
1.752500;185.260000
1.755000;184.220000
1.757500;183.180000
1.760000;182.140000
1.762500;181.100000
1.765000;180.060000
1.767500;179.020000
1.770000;177.980000
1.772500;176.930000
1.775000;175.890000
1.777500;174.860000
