DIMITRI_DATE;REGION;SENSOR;PROCESSING_VERSION;YEAR;MONTH;DAY;DOY;DECIMAL_YEAR;FILENAME;ROI_COVER;NUM_ROI_PX;AUTO_CS;MANUAL_CS;AUX_DATA_1;AUX_DATA_2;AUX_DATA_3;AUX_DATA_4;AUX_DATA_5;AUX_DATA_6;AUX_DATA_7;AUX_DATA_8;AUX_DATA_9;AUX_DATA_10
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;   6; 310;   2011.851468702354;MER_RR__1PRBCM20111106_185157_000000543108_00214_50659_0001.N1;  1;         2142.0; 0.788; -1;MER_RR__0PPLRA20111106_182531_000026303108_00214_50659_4216.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111108_062114_20111106_150000_20111107_030000;AUX_FRO_AXVPDS20111109_112308_20111105_221000_20111108_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;   6; 310;   2011.851468702354;MER_RR__1PRBCM20111106_185157_000000543108_00214_50659_0002.N1;  1;         2142.0; 0.788; -1;MER_RR__0PPLRA20111106_182531_000026303108_00214_50659_4217.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111108_062114_20111106_150000_20111107_030000;AUX_FRO_AXVPDS20111109_112308_20111105_221000_20111108_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;   8; 312;   2011.856998382731;MER_RR__1PRBCM20111108_191821_000000543108_00243_50688_0001.N1;  0;          262.0; 0.000; -1;MER_RR__0PPLRA20111108_185227_000026293108_00243_50688_4917.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111108_181532_20111108_090000_20111108_210000;AUX_FRO_AXVPDS20111111_112405_20111107_221000_20111110_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;   9; 313;   2011.859669076568;MER_RR__1PRBCM20111109_184204_000000543108_00257_50702_0001.N1;  1;         2141.0; 0.695; -1;MER_RR__0PPLRA20111109_181547_000026303108_00257_50702_5293.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111109_180308_20111109_090000_20111109_210000;AUX_FRO_AXVPDS20111111_232258_20111108_221000_20111111_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  11; 315;   2011.865198661717;MER_RR__1PRBCM20111111_190825_000000563108_00286_50731_0001.N1;  1;         2156.0; 0.998; -1;MER_RR__0PPLRA20111111_184242_000026293108_00286_50731_5943.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111111_180405_20111111_090000_20111111_210000;AUX_FRO_AXVPDS20111113_232416_20111110_221000_20111113_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  12; 316;   2011.867869546009;MER_RR__1PRBCM20111112_183214_000000543108_00300_50745_0001.N1;  1;         2139.0; 0.628; -1;MER_RR__0PPLRA20111112_180603_000026293108_00300_50745_6281.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111112_182856_20111112_090000_20111112_210000;AUX_FRO_AXVPDS20111115_111852_20111111_221000_20111114_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  14; 318;   2011.873399131158;MER_RR__1PRBCM20111114_185835_000000543108_00329_50774_0001.N1;  1;         2147.0; 0.616; -1;MER_RR__0PPLRA20111114_183257_000026293108_00329_50774_6914.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111116_054724_20111114_150000_20111115_030000;AUX_FRO_AXVPDS20111116_232259_20111113_221000_20111116_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  17; 321;   2011.881599505139;MER_RR__1PRBCM20111117_184842_000000543108_00372_50817_0001.N1;  1;         2139.0; 0.176; -1;MER_RR__0PPLRA20111117_182311_000026283108_00372_50817_7867.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111119_064018_20111117_150000_20111118_030000;AUX_FRO_AXVPDS20111119_232632_20111116_221000_20111119_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  20; 324;   2011.889799911251;MER_RR__1PRBCM20111120_183850_000000563108_00415_50860_0001.N1;  1;         2137.0; 0.782; -1;MER_RR__0PPLRA20111120_181324_000026283108_00415_50860_8850.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111122_062114_20111120_150000_20111121_030000;AUX_FRO_AXVPDS20111123_111641_20111119_221000_20111122_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
17-OCT-2014;SPG;MERIS;3rd_Reprocessing;2011;  11;  22; 326;   2011.895329528065;MER_RR__1PRBCM20111122_190512_000000563109_00013_50889_0001.N1;  1;         2154.0; 0.000; -1;MER_RR__0PPLRA20111122_184017_000026283109_00013_50889_9647.N1;MER_INS_AXVACR20080826_192134_20020321_193100_20200101_000000;MER_CP1_AXVACR20091015_130410_20020321_193100_20200101_000000;MER_RAC_AXVACR20091008_180000_20061009_220000_20200101_000000;AUX_DEM_AXVIEC20031201_000000_20031201_000000_20200101_000000;MER_DRM_AXVIEC20020122_083343_20020101_000000_20200101_000000;AUX_LSM_AXVIEC20080218_104630_20020101_000000_20200101_000000;AUX_ECA_AXNECM20111124_062114_20111122_150000_20111123_030000;AUX_FRO_AXVPDS20111124_233228_20111121_221000_20111124_005000;AUX_ATT_AXVIEC20020924_131534_20020703_120000_20781231_235959
